Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date,Email,Website,Language
,Marjolaine,Boutin-Sweet,Hochelaga,Québec,NDP,5/2/2011 0:00,,Marjolaine.Boutin-Sweet@parl.gc.ca,marjolaineboutinsweet.ndp.ca,French
,Tarik,Brahmi,Saint-Jean,Québec,NDP,5/2/2011 0:00,,Tarik.Brahmi@parl.gc.ca,tarikbrahmi.ndp.ca,French
,Peter,Braid,Kitchener—Waterloo,Ontario,Conservative,5/2/2011 0:00,,peter.braid@parl.gc.ca,www.peterbraid.ca,English
,Garry,Breitkreuz,Yorkton—Melville,Saskatchewan,Conservative,5/2/2011 0:00,,garry.breitkreuz@parl.gc.ca,www.garrybreitkreuz.com,English
Hon.,Scott,Brison,Kings—Hants,Nova Scotia,Liberal,5/2/2011 0:00,,scott.brison@parl.gc.ca,www.brison.ca,English
,Ruth Ellen,Brosseau,Berthier—Maskinongé,Québec,NDP,5/2/2011 0:00,,RuthEllen.Brosseau@parl.gc.ca,ruthellenbrosseau.ndp.ca,French
,Gordon,Brown,Leeds—Grenville,Ontario,Conservative,5/2/2011 0:00,,gord.brown@parl.gc.ca,www.gordbrown.com/home.html,English
,Lois,Brown,Newmarket—Aurora,Ontario,Conservative,5/2/2011 0:00,,lois.brown@parl.gc.ca,www.loisbrown.ca,English
,Patrick,Brown,Barrie,Ontario,Conservative,5/2/2011 0:00,,patrick.brown@parl.gc.ca,www.servingbarrie.com,English
,Rod,Bruinooge,Winnipeg South,Manitoba,Conservative,5/2/2011 0:00,,rod.bruinooge@parl.gc.ca,www.bruinooge.ca,English
,Brad,Butt,Mississauga—Streetsville,Ontario,Conservative,5/2/2011 0:00,,Brad.Butt@parl.gc.ca,,English
Hon.,Gerry,Byrne,Humber—St. Barbe—Baie Verte,Newfoundland and Labrador,Liberal,5/2/2011 0:00,,gerry.byrne@parl.gc.ca,www.gerrybyrne.ca,English
,Paul,Calandra,Oak Ridges—Markham,Ontario,Conservative,5/2/2011 0:00,,paul.calandra@parl.gc.ca,www.paulcalandra.com,English
,Blaine,Calkins,Wetaskiwin,Alberta,Conservative,5/2/2011 0:00,,blaine.calkins@parl.gc.ca,www.blainecalkinsmp.com,English
Hon.,Ron,Cannan,Kelowna—Lake Country,British Columbia,Conservative,5/2/2011 0:00,,ron.cannan@parl.gc.ca,www.cannan.ca,English
,John,Carmichael,Don Valley West,Ontario,Conservative,5/2/2011 0:00,,John.Carmichael@parl.gc.ca,www.johncarmichael.ca,English
,Guy,Caron,Rimouski-Neigette—Témiscouata—Les Basques,Québec,NDP,5/2/2011 0:00,,Guy.Caron@parl.gc.ca,guycaron.ndp.ca,French
,Colin,Carrie,Oshawa,Ontario,Conservative,5/2/2011 0:00,,colin.carrie@parl.gc.ca,www.colincarriemp.ca,English
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,5/2/2011 0:00,,Sean.Casey@parl.gc.ca,seancasey.liberal.ca,English
,Andrew,Cash,Davenport,Ontario,NDP,5/2/2011 0:00,,Andrew.Cash@parl.gc.ca,andrewcash.ca,English
,Chris,Charlton,Hamilton Mountain,Ontario,NDP,5/2/2011 0:00,,chris.charlton@parl.gc.ca,www.chrischarlton.ca,English
,Sylvain,Chicoine,Châteauguay—Saint-Constant,Québec,NDP,5/2/2011 0:00,,Sylvain.Chicoine@parl.gc.ca,sylvainchicoine.ndp.ca,French
,Robert,Chisholm,Dartmouth—Cole Harbour,Nova Scotia,NDP,5/2/2011 0:00,,Robert.Chisholm@parl.gc.ca,robertchisholm.ndp.ca,English
,Corneliu,Chisu,Pickering—Scarborough East,Ontario,Conservative,5/2/2011 0:00,,Corneliu.Chisu@parl.gc.ca,www.corneliuchisu.ca,English
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,5/2/2011 0:00,,michael.chong@parl.gc.ca,www.michaelchong.ca,English
,François,Choquette,Drummond,Québec,NDP,5/2/2011 0:00,,Francois.Choquette@parl.gc.ca,v1.francoischoquette.ndp.ca,French
,Olivia,Chow,Trinity—Spadina,Ontario,NDP,5/2/2011 0:00,,olivia.chow@parl.gc.ca,www.oliviachow.ca,English
,David,Christopherson,Hamilton Centre,Ontario,NDP,5/2/2011 0:00,,david.christopherson@parl.gc.ca,davidchristopherson.ndp.ca,English
,Rob,Clarke,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,5/2/2011 0:00,,rob.clarke@parl.gc.ca,www.robclarkemp.ca,English
,Ryan,Cleary,St. John's South—Mount Pearl,Newfoundland and Labrador,NDP,5/2/2011 0:00,,Ryan.Cleary@parl.gc.ca,ryancleary.ndp.ca,English
Hon.,Tony,Clement,Parry Sound—Muskoka,Ontario,Conservative,5/2/2011 0:00,,tony.clement@parl.gc.ca,www.tonyclement.ca,English
,Joe,Comartin,Windsor—Tecumseh,Ontario,NDP,5/2/2011 0:00,,joe.comartin@parl.gc.ca,www.joecomartin.ca,English
,Raymond,Côté,Beauport—Limoilou,Québec,NDP,5/2/2011 0:00,,Raymond.Cote@parl.gc.ca,raymondcote.ndp.ca,French
Hon.,Irwin,Cotler,Mount Royal,Québec,Liberal,5/2/2011 0:00,,irwin.cotler@parl.gc.ca,irwincotler.liberal.ca,English
,Joan,Crockatt,Calgary Centre,Alberta,Conservative,11/26/2012 0:00,,Joan.Crockatt@parl.gc.ca,joancrockatt.ca,English
,Jean,Crowder,Nanaimo—Cowichan,British Columbia,NDP,5/2/2011 0:00,,jean.crowder@parl.gc.ca,www.jeancrowder.ca,English
,Nathan,Cullen,Skeena—Bulkley Valley,British Columbia,NDP,5/2/2011 0:00,,nathan.cullen@parl.gc.ca,www.nathancullen.ca,English
,Rodger,Cuzner,Cape Breton—Canso,Nova Scotia,Liberal,5/2/2011 0:00,,rodger.cuzner@parl.gc.ca,rodgercuzner.liberal.ca,English
,Joe,Daniel,Don Valley East,Ontario,Conservative,5/2/2011 0:00,,Joe.Daniel@parl.gc.ca,www.joedaniel.ca,English
,Patricia,Davidson,Sarnia—Lambton,Ontario,Conservative,5/2/2011 0:00,,pat.davidson@parl.gc.ca,www.patriciadavidson.ca,English
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,5/2/2011 0:00,,don.davies@parl.gc.ca,dondavies.ndp.ca,English
,Libby,Davies,Vancouver East,British Columbia,NDP,5/2/2011 0:00,,libby.davies@parl.gc.ca,www.libbydavies.ca,English
,Anne-Marie,Day,Charlesbourg—Haute-Saint-Charles,Québec,NDP,5/2/2011 0:00,,Anne-Marie.Day@parl.gc.ca,annemarieday.ndp.ca,French
,Bob,Dechert,Mississauga—Erindale,Ontario,Conservative,5/2/2011 0:00,,bob.dechert@parl.gc.ca,bobdechertmp.ca,English
,Dean,Del Mastro,Peterborough,Ontario,Conservative Independent,5/2/2011 0:00,,dean.delmastro@parl.gc.ca,www.deandelmastro.ca,English
,Barry,Devolin,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,5/2/2011 0:00,,barry.devolin@parl.gc.ca,www.barrydevolin.ca,English
,Paul,Dewar,Ottawa Centre,Ontario,NDP,5/2/2011 0:00,,paul.dewar@parl.gc.ca,www.pauldewar.ca,English
Hon.,Stéphane,Dion,Saint-Laurent—Cartierville,Québec,Liberal,5/2/2011 0:00,,stephane.dion@parl.gc.ca,stephanedion.liberal.ca/en,French
,Pierre,Dionne Labelle,Rivière-du-Nord,Québec,NDP,5/2/2011 0:00,,Pierre.DionneLabelle@parl.gc.ca,pierredionnelabelle.ndp.ca,French
,Fin,Donnelly,New Westminster—Coquitlam,British Columbia,NDP,5/2/2011 0:00,,fin.donnelly@parl.gc.ca,,English
,Rosane,Doré Lefebvre,Alfred-Pellan,Québec,NDP,5/2/2011 0:00,,Rosane.DoreLefebvre@parl.gc.ca,v1.rosanedorelefebvre.ndp.ca,French
,Earl,Dreeshen,Red Deer,Alberta,Conservative,5/2/2011 0:00,,earl.dreeshen@parl.gc.ca,www.earldreeshen.ca/about.htm,English
,Matthew,Dubé,Chambly—Borduas,Québec,NDP,5/2/2011 0:00,,Matthew.Dube@parl.gc.ca,matthewdube.ndp.ca,French
,Emmanuel,Dubourg,Bourassa,Québec,Liberal,11/25/2013 0:00,,Emmanuel.Dubourg@parl.gc.ca,,French
Hon.,John,Duncan,Vancouver Island North,British Columbia,Conservative,5/2/2011 0:00,,john.duncan@parl.gc.ca,johnduncanmp.com,English
,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,5/2/2011 0:00,,kirsty.duncan@parl.gc.ca,kirstyduncan.liberal.ca,English
,Linda,Duncan,Edmonton—Strathcona,Alberta,NDP,5/2/2011 0:00,,linda.duncan@parl.gc.ca,lindaduncan.ndp.ca,English
,Pierre-Luc,Dusseault,Sherbrooke,Québec,NDP,5/2/2011 0:00,,Pierre-Luc.Dusseault@parl.gc.ca,v1.pierrelucdusseault.ndp.ca,French
,Rick,Dykstra,St. Catharines,Ontario,Conservative,5/2/2011 0:00,,rick.dykstra@parl.gc.ca,www.rickdykstra.ca,English
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,5/2/2011 0:00,,wayne.easter@parl.gc.ca,www.wayneeaster.com,English
Hon.,Mark,Eyking,Sydney—Victoria,Nova Scotia,Liberal,5/2/2011 0:00,,mark.eyking@parl.gc.ca,markeyking.liberal.ca,English
,Ted,Falk,Provencher,Manitoba,Conservative,11/25/2013 0:00,,Ted.Falk@parl.gc.ca,,English
Hon.,Julian,Fantino,Vaughan,Ontario,Conservative,5/2/2011 0:00,,julian.fantino@parl.gc.ca,www.julianfantino.ca/home,English
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,5/2/2011 0:00,,ed.fast@parl.gc.ca,www.edfast.ca,English
Hon.,Kerry-Lynne D.,Findlay,Delta—Richmond East,British Columbia,Conservative,5/2/2011 0:00,,Kerry-Lynne.Findlay@parl.gc.ca,www.kerrylynnefindlaymp.ca,English
Hon.,Diane,Finley,Haldimand—Norfolk,Ontario,Conservative,5/2/2011 0:00,,diane.finley@parl.gc.ca,www.dianefinley.ca,English
Hon.,Jim,Flaherty,Whitby—Oshawa,Ontario,Conservative,5/2/2011 0:00,,jim.flaherty@parl.gc.ca,www.jimflahertymp.ca,English
Hon.,Steven,Fletcher,Charleswood—St. James—Assiniboia,Manitoba,Conservative,5/2/2011 0:00,,steven.fletcher@parl.gc.ca,www.stevenfletcher.com,English
,Judy,Foote,Random—Burin—St. George's,Newfoundland and Labrador,Liberal,5/2/2011 0:00,,judy.foote@parl.gc.ca,www.judyfoote.liberal.ca,English
,Jean-François,Fortin,Haute-Gaspésie—La Mitis—Matane—Matapédia,Québec,Bloc Québécois,5/2/2011 0:00,,Jean-Francois.Fortin@parl.gc.ca,www.jffortin.info/accueil.html,French
,Chrystia,Freeland,Toronto Centre,Ontario,Liberal,11/25/2013 0:00,,Chrystia.Freeland@parl.gc.ca,,English
,Mylène,Freeman,Argenteuil—Papineau—Mirabel,Québec,NDP,5/2/2011 0:00,,Mylene.Freeman@parl.gc.ca,mylenefreeman.ndp.ca,French
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,5/2/2011 0:00,,hedy.fry@parl.gc.ca,www.hedyfry.com,English
,Royal,Galipeau,Ottawa—Orléans,Ontario,Conservative,5/2/2011 0:00,,royal.galipeau@parl.gc.ca,www.royalgalipeau.ca/about,French
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,5/2/2011 0:00,,cheryl.gallant@parl.gc.ca,www.cherylgallant.com,English
,Marc,Garneau,Westmount—Ville-Marie,Québec,Liberal,5/2/2011 0:00,,marc.garneau@parl.gc.ca,marcgarneau.liberal.ca/en,English
,Randall,Garrison,Esquimalt—Juan de Fuca,British Columbia,NDP,5/2/2011 0:00,,Randall.Garrison@parl.gc.ca,randallgarrison.ndp.ca,English
,Réjean,Genest,Shefford,Québec,NDP,5/2/2011 0:00,,Rejean.Genest@parl.gc.ca,rejeangenest.ndp.ca,French
,Jonathan,Genest-Jourdain,Manicouagan,Québec,NDP,5/2/2011 0:00,,Jonathan.Genest-Jourdain@parl.gc.ca,jonathangenestjourdain.ndp.ca,French
,Alain,Giguère,Marc-Aurèle-Fortin,Québec,NDP,5/2/2011 0:00,,Alain.Giguere@parl.gc.ca,v1.alaingiguere.ndp.ca,French
,Parm,Gill,Brampton—Springdale,Ontario,Conservative,5/2/2011 0:00,,Parm.Gill@parl.gc.ca,www.parmgill.ca,English
Hon.,Shelly,Glover,Saint Boniface,Manitoba,Conservative,5/2/2011 0:00,,shelly.glover@parl.gc.ca,www.shellyglover.ca,English
,Yvon,Godin,Acadie—Bathurst,New Brunswick,NDP,5/2/2011 0:00,,yvon.godin@parl.gc.ca,www.yvongodin.ndp.ca,French
,Robert,Goguen,Moncton—Riverview—Dieppe,New Brunswick,Conservative,5/2/2011 0:00,,Robert.Goguen@parl.gc.ca,www.robertgoguen.ca,English
,Peter,Goldring,Edmonton East,Alberta,Conservative,5/2/2011 0:00,,peter.goldring@parl.gc.ca,www.petergoldring.com,English
Hon.,Ralph,Goodale,Wascana,Saskatchewan,Liberal,5/2/2011 0:00,,ralph.goodale@parl.gc.ca,ralphgoodale.liberal.ca,English
Hon.,Gary,Goodyear,Cambridge,Ontario,Conservative,5/2/2011 0:00,,gary.goodyear@parl.gc.ca,www.garygoodyear.com,English
Hon.,Bal,Gosal,Bramalea—Gore—Malton,Ontario,Conservative,5/2/2011 0:00,,Bal.Gosal@parl.gc.ca,www.balgosal.com,English
,Jacques,Gourde,Lotbinière—Chutes-de-la-Chaudière,Québec,Conservative,5/2/2011 0:00,,jacques.gourde@parl.gc.ca,www.jacquesgourde.ca/?option=com_content,French
,Claude,Gravelle,Nickel Belt,Ontario,NDP,5/2/2011 0:00,,claude.gravelle@parl.gc.ca,claudegravelle.ca,English
,Nina,Grewal,Fleetwood—Port Kells,British Columbia,Conservative,5/2/2011 0:00,,nina.grewal@parl.gc.ca,www.ninagrewal.ca,English
,Sadia,Groguhé,Saint-Lambert,Québec,NDP,5/2/2011 0:00,,Sadia.Groguhe@parl.gc.ca,sadiagroguhe.ndp.ca,French
Right Hon.,Stephen,Harper,Calgary Southwest,Alberta,Conservative,5/2/2011 0:00,,stephen.harper@parl.gc.ca,www.pm.gc.ca,English
,Dan,Harris,Scarborough Southwest,Ontario,NDP,5/2/2011 0:00,,Dan.Harris@parl.gc.ca,danharris.ndp.ca,English
,Jack,Harris,St. John's East,Newfoundland and Labrador,NDP,5/2/2011 0:00,,jack.harris@parl.gc.ca,jackharris.ndp.ca,English
,Richard,Harris,Cariboo—Prince George,British Columbia,Conservative,5/2/2011 0:00,,richard.harris@parl.gc.ca,www.dickharris.ca,English
,Sana,Hassainia,Verchères—Les Patriotes,Québec,NDP,5/2/2011 0:00,,Sana.Hassainia@parl.gc.ca,sanahassainia.ndp.ca,French
Hon.,Laurie,Hawn,Edmonton Centre,Alberta,Conservative,5/2/2011 0:00,,laurie.hawn@parl.gc.ca,www.lauriehawnmp.ca,English
,Bryan,Hayes,Sault Ste. Marie,Ontario,Conservative,5/2/2011 0:00,,Bryan.Hayes@parl.gc.ca,www.bryanhayes.ca,English
,Russ,Hiebert,South Surrey—White Rock—Cloverdale,British Columbia,Conservative,5/2/2011 0:00,,russ.hiebert@parl.gc.ca,www.russhiebert.ca,English
,Jim,Hillyer,Lethbridge,Alberta,Conservative,5/2/2011 0:00,,Jim.Hillyer@parl.gc.ca,,English
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,5/2/2011 0:00,,randy.hoback@parl.gc.ca,www.mprandyhoback.ca,English
,Ed,Holder,London West,Ontario,Conservative,5/2/2011 0:00,,ed.holder@parl.gc.ca,www.edholder.ca,English
,Ted,Hsu,Kingston and the Islands,Ontario,Liberal,5/2/2011 0:00,,Ted.Hsu@parl.gc.ca,tedhsu.liberal.ca,English
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,5/2/2011 0:00,,carol.hughes@parl.gc.ca,carolhughes.ndp.ca,English
,Bruce,Hyer,Thunder Bay—Superior North,Ontario,Green Party,5/2/2011 0:00,,bruce.hyer@parl.gc.ca,www.brucehyer.ca,English
,Pierre,Jacob,Brome—Missisquoi,Québec,NDP,5/2/2011 0:00,,Pierre.Jacob@parl.gc.ca,v1.pierrejacob.ndp.ca,French
,Roxanne,James,Scarborough Centre,Ontario,Conservative,5/2/2011 0:00,,Roxanne.James@parl.gc.ca,www.roxannejames.ca,English
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,5/13/2013 0:00,,Yvonne.Jones@parl.gc.ca,yvonnejones.liberal.ca,English
,Peter,Julian,Burnaby—New Westminster,British Columbia,NDP,5/2/2011 0:00,,peter.julian@parl.gc.ca,www.peterjulian.ca,English
,Randy,Kamp,Pitt Meadows—Maple Ridge—Mission,British Columbia,Conservative,5/2/2011 0:00,,randy.kamp@parl.gc.ca,www.randykamp.com,English
Hon.,Jim,Karygiannis,Scarborough—Agincourt,Ontario,Liberal,5/2/2011 0:00,,jim.karygiannis@parl.gc.ca,www.karygiannismp.com,English
,Gerald,Keddy,South Shore—St. Margaret's,Nova Scotia,Conservative,5/2/2011 0:00,,gerald.keddy@parl.gc.ca,www.geraldkeddymp.ca,English
,Matthew,Kellway,Beaches—East York,Ontario,NDP,5/2/2011 0:00,,Matthew.Kellway@parl.gc.ca,matthewkellway.ndp.ca,English
Hon.,Jason,Kenney,Calgary Southeast,Alberta,Conservative,5/2/2011 0:00,,jason.kenney@parl.gc.ca,www.jasonkenney.com,English
Hon.,Peter,Kent,Thornhill,Ontario,Conservative,5/2/2011 0:00,,peter.kent@parl.gc.ca,www.peterkent.ca/about-peter-kent,English
,Greg,Kerr,West Nova,Nova Scotia,Conservative,5/2/2011 0:00,,greg.kerr@parl.gc.ca,www.gregkerrmp.ca,English
,Ed,Komarnicki,Souris—Moose Mountain,Saskatchewan,Conservative,5/2/2011 0:00,,ed.komarnicki@parl.gc.ca,www.edkom.ca,English
,Daryl,Kramp,Prince Edward—Hastings,Ontario,Conservative,5/2/2011 0:00,,daryl.kramp@parl.gc.ca,www.darylkramp.ca/index.html,English
Hon.,Mike,Lake,Edmonton—Mill Woods—Beaumont,Alberta,Conservative,5/2/2011 0:00,,mike.lake@parl.gc.ca,www.mikelake.ca,English
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,5/2/2011 0:00,,kevin.lamoureux@parl.gc.ca,kevinlamoureux.liberal.ca,English
,François,Lapointe,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Québec,NDP,5/2/2011 0:00,,Francois.Lapointe@parl.gc.ca,francoislapointe.ndp.ca,French
,Jean-François,Larose,Repentigny,Québec,NDP,5/2/2011 0:00,,Jean-Francois.Larose@parl.gc.ca,jeanfrancoislarose.ndp.ca,French
,Alexandrine,Latendresse,Louis-Saint-Laurent,Québec,NDP,5/2/2011 0:00,,Alexandrine.Latendresse@parl.gc.ca,alexandrinelatendresse.ndp.ca,French
,Guy,Lauzon,Stormont—Dundas—South Glengarry,Ontario,Conservative,5/2/2011 0:00,,guy.lauzon@parl.gc.ca,www.guylauzon.ca,English
,Hélène,Laverdière,Laurier—Sainte-Marie,Québec,NDP,5/2/2011 0:00,,Helene.Laverdiere@parl.gc.ca,helenelaverdiere.ndp.ca,French
Hon.,Denis,Lebel,Roberval—Lac-Saint-Jean,Québec,Conservative,5/2/2011 0:00,,denis.lebel@parl.gc.ca,www.denislebel.ca,French
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,5/2/2011 0:00,,dominic.leblanc@parl.gc.ca,www.dominicleblanc.ca,French
,Hélène,LeBlanc,LaSalle—Émard,Québec,NDP,5/2/2011 0:00,,Helene.LeBlanc@parl.gc.ca,v1.heleneleblanc.ndp.ca,French
,Ryan,Leef,Yukon,Yukon,Conservative,5/2/2011 0:00,,Ryan.Leef@parl.gc.ca,www.ryanleef.ca,English
Hon.,Kellie,Leitch,Simcoe—Grey,Ontario,Conservative,5/2/2011 0:00,,Kellie.Leitch@parl.gc.ca,,English
,Pierre,Lemieux,Glengarry—Prescott—Russell,Ontario,Conservative,5/2/2011 0:00,,pierre.lemieux@parl.gc.ca,www.pierrelemieux.ca,English
,Megan,Leslie,Halifax,Nova Scotia,NDP,5/2/2011 0:00,,megan.leslie@parl.gc.ca,www.meganleslie.ca,English
,Chungsen,Leung,Willowdale,Ontario,Conservative,5/2/2011 0:00,,Chungsen.Leung@parl.gc.ca,www.chungsenleung.ca,English
,Laurin,Liu,Rivière-des-Mille-Îles,Québec,NDP,5/2/2011 0:00,,Laurin.Liu@parl.gc.ca,laurinliu.ndp.ca,French
,Wladyslaw,Lizon,Mississauga East—Cooksville,Ontario,Conservative,5/2/2011 0:00,,Wladyslaw.Lizon@parl.gc.ca,wladyslawlizon.ca,English
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,5/2/2011 0:00,,ben.lobb@parl.gc.ca,www.benlobb.com/index.html,English
,Tom,Lukiwski,Regina—Lumsden—Lake Centre,Saskatchewan,Conservative,5/2/2011 0:00,,tom.lukiwski@parl.gc.ca,www.lukiwski.ca,English
,James,Lunney,Nanaimo—Alberni,British Columbia,Conservative,5/2/2011 0:00,,james.lunney@parl.gc.ca,www.jameslunneymp.ca,English
